SET 10,SET5 ,,,,Set 5,Set 10,,SET5,SET10
2.564217799999824,1.8889118999995844,,,,1.8889119,2.5642178,,,
1.8940315999989252,1.6851913999998942,,,,1.6851914,1.8940316,,,
3.062457199999699,1.251989999998841,,,,1.25199,3.0624572,,,
1.511755900000935,1.5798398000006273,,,,1.5798398,1.5117559,,,
1.7788611999985733,2.0041909999999916,,,,2.004191,1.7788612,,,
1.7267057999997633,2.0228074999995442,,,,2.0228075,1.7267058,,,
1.8429756000005,1.5396244000003207,,,,1.5396244,1.8429756,,,
1.6130324999994627,1.6885163000006287,,,,1.6885163,1.6130325,,,
1.5341946000007738,2.219238400000904,,,,2.2192384,1.5341946,,,
1.6961577000001853,2.139384300000529,,,,2.1393843,1.6961577,,,
1.1600357000006625,2.2725815000012517,,,,2.2725815,1.1600357,,,
1.6955405000007886,2.1035897999990993,,,,2.1035898,1.6955405,,,
1.1911913000003551,1.8382633000001078,,,,1.8382633,1.1911913,,,
1.9952546000004077,1.5048010000009526,,,,1.504801,1.9952546,,,
1.7380630999996356,1.6890608000012435,,,,1.6890608,1.7380631,,,
1.4270720000004076,1.9563207999999577,,,,1.9563208,1.427072,,,
1.6616503999994165,1.455214800000249,,,,1.4552148,1.6616504,,,
1.4798381000000518,1.4702668000008998,,,,1.4702668,1.4798381,,,
2.1952406000000337,1.5214218000000983,,,,1.5214218,2.1952406,,,
1.7609897999991517,1.9386309000001347,,,,1.9386309,1.7609898,,,
1.6547678999995696,1.8707100999999966,,,,1.8707101,1.6547679,,,
1.779096500000378,1.2025299000015366,,,,1.2025299,1.7790965,,,
2.0628064000011364,2.4997618999987026,,,,2.4997619,2.0628064,,,
1.9638875000000553,1.5368460999998206,,,,1.5368461,1.9638875,,,
1.844314600000871,1.8722119000012754,,,,1.8722119,1.8443146,,,
1.3801760999995167,3.723151100000905,,,,3.7231511,1.3801761,,,
1.540851300000213,1.8629086000000825,,,,1.8629086,1.5408513,,,
1.696828699999969,1.8047270999995817,,,,1.8047271,1.6968287,,,
2.0298158999994484,1.404284700000062,,,,1.4042847,2.0298159,,,
2.64622799999961,1.5544487000006484,,,,1.5544487,2.646228,,,
2.245038299999578,1.3567380999993475,,,,1.3567381,2.2450383,,,
1.962446400000772,1.2033783999995649,,,,1.2033784,1.9624464,,,
1.8798136000004888,1.384125700000368,,,,1.3841257,1.8798136,,,
2.7640202999991743,2.171824800001559,,,,2.1718248,2.7640203,,,
1.8285193000010622,1.3728066999992734,,,,1.3728067,1.8285193,,,
2.012458199998946,1.253719700000147,,,,1.2537197,2.0124582,,,
1.7802699000003486,1.5005323000004864,,,,1.5005323,1.7802699,,,
2.5297664999998233,1.5657131999996636,,,,1.5657132,2.5297665,,,
1.7422618000000512,1.4556025000001682,,,,1.4556025,1.7422618,,,
1.8142091999998229,1.3716010999996797,,,,1.3716011,1.8142092,,,
1.5104824999998527,1.8520467999987886,,,,1.8520468,1.5104825,,,
1.4607897000005323,1.7234475999994174,,,,1.7234476,1.4607897,,,
1.577288700000281,1.286270799999329,,,,1.2862708,1.5772887,,,
1.494960699999865,1.755199100000027,,,,1.7551991,1.4949607,,,
1.8967475999997987,1.4056624000004376,,,,1.4056624,1.8967476,,,
1.158862299998873,1.4731147000002238,,,,1.4731147,1.1588623,,,
1.9384774999998626,1.3678826000013942,,,,1.3678826,1.9384775,,,
2.6970194000004994,1.7555720999989717,,,,1.7555721,2.6970194,,,
1.679081700000097,1.304393099999288,,,,1.3043931,1.6790817,,,
1.6783875999990414,1.3561065000012604,,,,1.3561065,1.6783876,,,
1.711351800000557,1.3201415999992605,,,,1.3201416,1.7113518,,,
1.3771289000014804,2.0057554000013624,,,,2.0057554,1.3771289,,,
1.07640739999988,2.004574099999445,,,,2.0045741,1.0764074,,,
1.0966024999997899,1.501036000001477,,,,1.501036,1.0966025,,,
1.4111436000002868,1.604888400001073,,,,1.6048884,1.4111436,,,
1.8070793999995658,1.7035852999997587,,,,1.7035853,1.8070794,,,
1.1457157999993797,1.5714619999998831,,,,1.571462,1.1457158,,,
0.9964787999997498,1.4162233000006381,,,,1.4162233,0.9964788,,,
